CoreNumber,ReductionMethod,ToolNumber,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,TechnicalCategory,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,FlakeProfile,ProfileTwisted?,Mass,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,Curvature,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,Notes
d11,freehand,5,FlakeFrag,Proximal,,B6,61-90%,No,LeftLateral,1,Unidirectional,,,No,0.97,18.39,0,13.11,12.55,4.27,0,0.92,0.76,0,0,,Indeterminate,,HingedRemovals,Yes,Indeterminate,Indeterminate,None,HingedBulb,Indeterminate,Indeterminate,No,,
d11,freehand,14,FlakeFrag,Distal,,B2,1-9%,No,Distal,3,Subradial,,,No,0.6,28.92,0,9.49,8.87,2.67,0,0,0,0,0,Axial,,,,,,,,,,,No,,
d11,freehand,18,FlakeFrag,Proximal,,B7,11-40%,YesPartial,RightLateral,1,Indeterminate,,,Yes,0.2,18.66,0,8.42,8.38,2.49,0,3.07,0.95,0,0.3,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ErrailuerScar,NoLip,NarrowLinear,No,,
d11,freehand,22,FlakeFrag,Distal,,B1,0%,,,3,Unidirectional,Parallel,,,0.52,20.83,0,12.13,0,2.56,0,0,0,0,0,Axial,,,,,,,,,,,No,,
d11,freehand,23,FlakeFrag,Proximal,,B1,1-9%,No,DistalRightLat,1,Unidirectional,,,No,0.23,13.33,0,10.27,0,2.66,0,1.01,0.61,0,0.2,,NotPrepared,,HingedRemovals,Yes,Indeterminate,RegCurve,PartialFissure,HertzianCone,NoLip,NarrowLinear,No,,
d11,freehand,24,FlakeFrag,Distal,,A2,100%,,WholeDorsal,0,Indeterminate,,,,0.14,10.64,0,12.27,0,1.76,0,0,0,0,0,Feather,,,,,,,,,,,No,,
d11,freehand,29,FlakeFrag,Distal,,B3,0%,,,3,Unidirectional,Parallel,,,0.37,21.98,0,15.46,0,2.17,0,0,0,0,0,Axial,,,,,,,,,,,No,,
d11,freehand,33,FlakeFrag,Proximal,,Other,11-40%,No,LeftLateral,1,Unidirectional,,,No,0.26,17.69,0,6.96,5.41,3.25,0,0,0,0,0,,NotPrepared,,Indeterminate,Indeterminate,Indeterminate,Double,None,HingedBulb,Indeterminate,Indeterminate,No,,
d11,freehand,39,FlakeFrag,Distal,,B1,0%,,,2,Unidirectional,,,,0.03,10.65,0,5.77,0,0.88,0,0,0,0,0,Hinge,,,,,,,,,,,No,,
d11,freehand,41,FlakeFrag,Proximal,,B6,41-60%,No,RightLateral,1,Unidirectional,,,No,0.44,11.72,0,7.72,7.55,3.13,0,1.7,0.68,0,0,,NotPrepared,,HingedRemovals,Yes,Lateral,OverhangCurveBreak,PartialFissure,ErrailuerScar,NoLip,NarrowLinear,No,,
