DateOfDataEntry,Flaking condition,CoreNumber,ToolNumber,QuartzGrain,QuartzGrainSize,QuartzPlane,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,ReboundForce,TechnicalCategory,FlakeProfile,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,CrossSectionType,ProfileTwisted?,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,EPACaliper,Mass,Curvature,Notes,Photograph
02.09.16,Bipolar,23,10,Grain_Absent,,Plane_Present,CompFlake,Complete,Indeterminate,,B1,Converging,0%,No,,2,Unidirectional,Parallel,Trapezoidal,Yes,Splintered,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,ShearedBulb,NoLip,Crushed,No,,22.31,12.87,8.41,8.41,1.65,1.14,4.92,0.69,0.43,Small,0.27,0,,Yes
02.09.16,Bipolar,21,10,Grain_Present,Coarse_Grain,Plane_Present,FlakeFrag,Proximal,Yes,Yes,,,41-60%,YesPartial,LeftLateral,1,,,,No,,NotPrepared,,None,No,NotExpressed,RegCurve,None,HertzianCone,NoLip,Crushed,No,,0,0,0,0,7.13,0,6.22,3.27,3.35,Small,1.5,0,"nice bulb of percussion, but crushed plat and impossibly large flaking angle",Yes
02.11.16,Bipolar,22,10,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.23,0,,Yes
02.23.16,Bipolar,1,10,Grain_Absent,,Plane_Present,FlakeFrag,ProxLeftLat,Yes,Yes,,,0%,No,,3,Bidirectional,Indeterminate,Other,No,,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,Crushing,NoLip,Crushed,No,,0,0,0,0,2.1,0,0,0.37,0.9,Small,0.27,0,,Yes
02.23.16,Bipolar,4,10,Grain_Absent,,Plane_Present,CompFlake,Complete,Yes,No,B7,Converging,41-60%,YesPartial,LeftLateral,1,,,,No,Crushed,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,20.23,20.04,4.89,3.85,4.12,2.79,3.9,0.78,0.88,Small,0.28,0,,Yes
02.11.16,Bipolar,24,10,Grain_Present,Coarse_Grain,Plane_Present,Chunk,Fragment,No,,,,11-40%,,Indeterminate,0,,,,Yes,,,,,,,,,,,,No,,9.07,0,9.29,0,5.19,0,0,0,0,Small,0.42,0,,No
02.16.16,Freehand,11,10,Grain_Absent,,Plane_Absent,FlakeFrag,Fragment,No,,,,100%,,WholeDorsal,0,Indeterminate,Indeterminate,Other,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.92,0,,Yes
02.16.16,Freehand,12,10,Grain_Present,Fine_Grain,Plane_Present,CompFlake,Complete,No,,B1,Parallel,0%,YesPartial,,2,Unidirectional,Parallel,Triangular,Yes,Bipolar,NotPrepared,,None,Yes,Lateral,RegCurve,None,None,NoLip,QuadrangularTrapezoid,No,,20.17,20.15,12.07,10.03,6.44,6.44,7.57,2.07,0,Small,1.39,0,,Yes
02.16.16,Freehand,13,10,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,,,,0%,,,2,BiOrUni,Parallel,Triangular,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.66,0,,No
02.18.16,Bipolar,6,10,Grain_Present,Coarse_Grain,Plane_Present,FlakeFrag,Fragment,No,,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.6,0,,Yes
